Unique-id,Name,Games,AB,Hits,1B,2B,3B,HR,Tbases,Runs,RBI,BB,SB,BA,OBP,SLG,Fld_Pct,AllStar_freq,P,C,1B,2B,3B,SS,OF,DH,HOF
aaronha01,Hank Aaron,3298,12364,3771,2294,624,98,755,6856,2174,2297,1695,240,0.3050,0.3869,0.5545,0.9809,1.0870,0,0,0.0637,0.0130,0.0021,0,0.8369,0.0612,1.3013
adairje01,Jerry Adair,1165,4019,1022,783,163,19,57,1394,378,366,239,29,0.2543,0.2969,0.3469,0.9804,0.0000,0,0,0.0009,0.6953,0.0395,0.2661,0,0,0.0000
adamsbo03,Bobby Adams,1281,4019,1082,808,188,49,37,1479,591,303,415,67,0.2692,0.3398,0.3680,0.9606,0.0000,0,0,0.0094,0.3115,0.5090,0,0.0023,0,0.0044
adamssp01,Sparky Adams,1424,5557,1588,1282,249,48,9,1960,844,394,453,154,0.2858,0.3427,0.3527,0.9619,0.0000,0,0,0,0.3869,0.3736,0.2086,0.0028,0,0.0050
adcocjo01,Joe Adcock,1959,6606,1832,1166,295,35,336,3205,823,1122,649,20,0.2773,0.3419,0.4852,0.9926,0.1176,0,0,0.7662,0,0,0,0.1582,0,0.0000
ageeto01,Tommie Agee,1129,3912,999,672,170,27,130,1613,558,433,368,167,0.2554,0.3236,0.4123,0.9747,0.1667,0,0,0,0,0,0,0.9504,0,0.0000
aguaylu01,Luis Aguayo,568,1104,260,170,43,10,37,434,142,109,106,7,0.2355,0.3108,0.3931,0.9600,0.0000,0,0,0,0.2588,0.1708,0.4560,0,0.0035,0.0000
ainsmed01,Eddie Ainsmith,1078,3048,707,523,108,54,22,989,299,317,263,86,0.2320,0.2955,0.3245,0.9649,0.0000,0.0009,0.9212,0.0019,0,0,0,0,0,0.0000
aldremi01,Mike Aldrete,930,2147,565,411,104,9,41,810,277,271,343,19,0.2632,0.3633,0.3773,0.9906,0.0000,0.0011,0,0.3075,0,0,0,0.4398,0.0333,0.0000
alexama02,Manny Alexander,594,1271,293,216,50,12,15,412,166,115,93,37,0.2305,0.2858,0.3242,0.9603,0.0000,0.0017,0,0.0017,0.3199,0.2205,0.3451,0.0101,0.0118,0.0000
